,sentence,label
259,today's bull flag,2
260,growth rate of approximately 122.0% to 124.9%. total net revenues to be between $780 mln and $790,2
261,lots of nice setups in Energy  liking Whiting more each day $CRZO too,2
262,Bad governance not confident in core biz,0
263,Airplane And Hospitality Industries Set Their Sights On #Cuba,2
264,Landed in $EA,2
265,bought $skf as a hedge,2
266,Transports always lead the way bull flag,2
267,here is no case here,2
268,$JOE Getting attention. No.2 on NYSE 100 top buying list,2
269,Short Setups Looking Nice....Really Nice,0
270,Highest close since,2
271,should bring $SPX down into the close.,0
272,,2
273,money flow & stochastic dropping itting resistance at the 200-day downtrend Retest 50-day?,0
274,9% run for this watch list winner,2
275,have had 2 wks of fund inflows for the first time,2
276,$GOOG $GOOGL would suck,0
277,ses warrants to buy $1.17B & 14.97% of AmerisourceBergen(PBR16) shares,2
278,Not every idea $AMZN has is bad.,2
279,looks primed poised to run too,2
280,Yahoo extends bidding deadline as interest grows,2
281,good news for domestic automakers,2
282,mrkt needs to washout,0
283,valuation is high No net cash fwd growth <10% high peg historical high pe & fwd PE,0
284,$WFM dropping below $30 again not enthusing Investors,0
285,$HTZ lower,0
286,Recall Adds To Reliability Issues,0
287,I'm out,0
288,Think I may just start to avoid bios,0
289,LVMH affordable #luxe doing just fine helped by duty-free & confident mainstream shoppers,2
290,no crying you get out,0
291,Trying to break daily trend line! Big move could happen,2
292,Went long on this,2
293,"If bulls lucky enuff to get an upside gap fill, better take it",2
294,wouldn't call any of these banks h+s quite yet,2
295,banks to implode stress tests failing  selloff,0
296,New recommendation from Carl Kirst of BMO Capital Markets,2
297,near a buy point last week,2
298,PC shipments drop to lowest level since 2007,0
299,Momentum building for breakout trigger Long setup,2
300,consistent gains but small one of my favorite trade,2
301,$AAPL cult on stocktwits is actually disgusting,0
302,Higher In Afternoon Trade Buy Point,2
303,Sector Stocks Leading Today,2
304,$ADBE flying,2
305,"Tesla to recall 2,700 Model X SUVs over seat issue",0
306,Back in,2
307,US Adds 321K Jobs In November Unemployment Rate Remains At  Gold Futures off,2
308,under pressure along with the market,2
309,cash & cheap financing is fueling a wave of acquisitions,2
310,Worst #sentiment for #SP1500 #stocks at market close,0
311,gold going parabolic keep chasing those tops boys,2
312,I would take profits if you have them,0
313,never widen your stop to stay in a trade,0
314,slips alongside shares on NSA leak news,0
315,Best outperformers ranked,2
316,$GOOGL is setting up above its 50-day moving average,2
317,weakest sector this year possible false breakout,0
318,"Tesla is recalling 2,700 Model X cars",0
319,Unusual Call Activity,2
320,Wish had my puts bac,0
321,see if they maintain 15% yield should be announcing the monthly divy,2
322,look at all the shorts running for cover,2
323,"As with all 3x ETFs, it is subject to decay due to daily rebalancin so be careful holding",0
324,Signs of life are emerging :),2
325,Markets Back in Black for 2016,2
326,I rather be neutral to bullish rather than bearish,2
327,Diversifies. Adds International exposure,2
328,Out $AAPL,0
329,capped this range leads to meltdown,0
330,long on,2
331,$GOOGL patents turn signal detector for autonomous cars.,2
332,moves up a little more today off of cup and handle,2
333,makes less profit than the sales of $AAPL Watch,0
334,Comparable Store Sales -4%,0
335,Making higher highs & higher lows as it consolidates over past several weeks,2
336,looking to add a gold miner and possibly lower pe tech name into close,2
337,sold at 139.26 and flat,0
338,suddenly realizing,0
339,long,2
340,$FIT and $SUNE have not changed.,0
341,"$NUGT fucking beast mode, kicking shirts in the NUGT pouch",2
342,my hospital reits are slaughtered,0
343,i want to cry,0
344,3 Top Japan ETFs To Surge Higher In 2H,2
345,New bullish conversation activity,2
346,Bottom Losses,0
347,"just follow the trend, follow the money flow",2
348,Short Squeeze Ready To Upside w Crossing Important Technical Level,2
349,I'll take the other side of that trade,2
350,I love this stock/Co,0
351,no choice but to be positve,2
352,Word on the street is that Allergen is looking at Endo International,2
353,buy $WYNN,2
354,$TSLA hype the news sell on news,0
355,Three black crows followed by a potential bear flag not looking promising short term,0
356,Looking for a strong bounce Lunchtime rally coming,2
357,trails $MSFT $ORCL $GOOG $CRM $ADBE,2
358,Stay With Best Of Breed Has Room To Run,2
359,Nice day rally!,2
360,orgetting the potential relative value of its users,2
361,looking goo for 35.80s break out. It must hold 35.40s,2
362,USIO ops are profitable,0
363,Bot $GMCR 75 Nov Call,2
364,Reasons for caution about Chinese stocks,0
365,outperforms,2
366,earish Trader bets $550K that Stock Will Sell Off,0
367,congrats shorts,0
368,Downbeaten stocks may be ripe for buys,2
369,picked some up like this going into 2014,2
370,Worst performers today  $MGM $IO -6%,0
371,nt done good with that name so will pass it,0
372,its been nothing but down,0
373,Bullish MA Crossovers,2
374,player onto the 211 puts,0
375,Someone wants in,2
376,$pcln back over 'up' trendline,2
377,Found some good bull setups this week,2
378,is just humming easing overbought,0
379,"just follow the trend, follow the money flow",2
380,is up 19%,2
381,Sector Stocks Leading Today,2
382,"Ron Johnson tried, and failed, to inject a bit of Apple culture into JC Penney",0
383,not the prettiest candlesticks no signs of gap fill yet,1
384,agree risky watching very closely,0
385,breakout from the consolidation zone bot some @,2
386,Took Small posistion on $TSLA,0
387,flop would just get everyone running to the fences.,0
388,Unusual Call Activity,2
389,Worst #sentiment for #SP1500 #stocks at market close,0
390,new squeeze plays,0
391,people are calling it bearish Some heading for exits already,0
392,long $SQ LONG 3300 SQ,2
393,Fader play here,0
394,all sectors improved in bullish breadth.,2
395,top-rated,2
396,Stochastic Overbought,0
397,China February Retail Sales: E-Commerce Remains Resilient,2
398,China February Retail Sales: E-Commerce Remains Resilient,2
399,Large cap tech is finally trying to catch up with the rest of the market,2
400,Stock dropping hard...,0
401,Recall will not impact financial results,2
402,,2
403,very weak res,0
404,gap up today?  they say the heat is coming,2
405,top-rated,2
406,Coming from far could go far Stock price implies you pay nothing for the business,2
407,LNKD is great but doesnt the potential side with Fb,2
408,Long $ENDP @ $26.23 on $AGN b/o rumor,2
409,oil back above 60,2
410,Short Setups Looking Nice....Really Nice,0
411,gist of downgrades was apple failed to make a phone th,0
412,Another 3% gain in $RIGL following last week's huge call buying in the Apr,2
413,$STX Higher,2
414,$GRPN having a much better day than $FB,0
415,stocks insiders are bullish on,2
416,hipments on track to exceed forecasts,2
417,LVMH affordable #luxe doing just fine helped by duty-free & confident mainstream shoppers,2
418,cover all,2
419,SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,0
420,Most bullish stocks on Twitter during this dip,2
421,$FCX 1.9% now March $36 puts now +8.33%,0
422,First quarter is amazing,2
423,$SAP Q1 disappoints as #software licenses down Real problem?,0
424,Today's losers,0
425,looking for a sharp move up in equities,2
426,gap fill coming up,2
427,Report: Apple signs up for Google's cloud uses much less of Amazon,0
428,$FB TO $107 TOMORROW!? Show me the $$$,2
429,over 225 million new Internet users are being added globally every year,2
430,Covered Call,2
431,Long buying point,2
432,I've been picking up railroad stocks for the retirement acct,2
433,when there is turmoil in the MENA region shippers perform,2
434,"Going back in, but slowly",2
435,down 12% since I alerted it a short sell on 3-25,0
436,Bet the farm on,2
437,Interest Heats Up for @Yahoo $YHOO,2
438,the parties over volatility is back,0
439,Stocks Higher In Afternoon Trade,2
440,Highest call to put ratio,2
441,Apparently Intel thinks women should get paid the same as men $INTC Gender Pay Parity at 100%,2
442,$GS is looking weak while this market is moving higher not a good sign,0
443,1Mil Buy order at,2
444,top stocks,2
445,Top Stocks in 2015 are Ready to Lead Again in 2016,2
446,"640m globally this week on avengers really sick ,Stan lee is a beast",2
447,plus its Irish based  getting rid of its generic biz,2
448,In,2
449,13F Shows New Stakes in ,2
450,gap up today?  they say the heat is coming,2
451,Breakout watch,2
452,Short Setups Looking Nice....Really Nice,0
453,getting a lot of hype,2
454,Court tells states to leave $GOOG alone,2
455,Got a nice push today,2
456,"Unloaded $16,673 Worth of The Ensign Group, Inc. (NASDAQ:ENSG) Shares",0
457,$23 by the end of the week..did you snatch ur 21,2
458,continues its rally,2
459,it With Lawsuit from Russian Search Engine,0
460,#oversold,2
461,have had 2 wks of fund inflows for the first time,2
462,MU down 2.3% today and down 8.9%,0
463,Unusual call buying,2
464,$KO:US #COCA-COLA CO 19Oct Positive,2
465,Sales weak margins down debt still way up,0
466,just broke resistance #redtogreen #breakout right out of the gate tomorrow morning,2
467,$FFIV up 7$,2
468,bot $CHRW,2
469,Break-out thru 50 & 200- DMA Short squeeze in progress,2
470,now up 2.2% Still holding,2
471,Bid for Reargument Denied by Judge,0
472,with upcoming first support in a few days or weeks!,2
473,$CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26%,2
474,lots of green on the 5 min,2
475,looking to buy,2
476,I don't think is the right fit,0
477,stochastics finally starting to turn up Buying here,2
478,Another Sell Rating,0
479,Very nice breakout on a very nice stock,2
480,launching shopping bot catalyst2016 #catalyst2016,2
481,Buy these 3 stocks while there's blood in the streets,2
482,Goldman Sachs reiterates conviction buy on,2
483,losers no profit so sad,0
484,Long term uptrend intract so far,2
485,the most trending,2
486,,1
487,Will be adding on dips,2
488,Added long at friday close,2
489,losing $400M of $AAPL's business,0
490,#oversold,2
491,Picking up a couple shares of $GOOG today,2
492,My broker has no shorts who has them?,0
493,sales numbers still holding up so well igh end might not be a concern after all.,2
494,trying to drag $bidu with it.,0
495,over 225 million new Internet users are being added globally every year,2
496,downgraded to neutral at Deutsche Bank Price target reduced,0
497,Five Stocks that Helped Starboard Valueâ€™s Equity Portfolio Return 6.5% in Q1,2
498,buy zone today take swing trade profits,2
499,big picture is BRILLIANT Boy-wonder visionary Zuck!,2
500,"bounce right now has no vol, more vol when it slid",2
501,another story stock with an unhappy ending,0
502,Love it #bullish,2
503,Most bullish stocks on Twitter during this dip,2
504,Mark Zuckerberg is doing an amazing job,2
505,today's top gainers,2
506,has had a history of a lack of PR shame for investors,0
507,closed Friday with the RS line in new highs,2
508,look out belooooooowwww,0
509,whole Semiconductor space looks interesting,2
510,To Combine In $37 Billion Deal,2
511,peaks above HOD,2
512,Problem for shorts every fund out there will want to buy this thing on a a pullback,2
513,awesomely bullish stocks,2
514,There is a good base building,2
515,Biggest Market Losers,0
516,Highest call to put ratio,2
517,SOLD to close $QQQ puts for +34%,0
518,ooks pretty bullish for now,2
519,looks really interesting on drop grabbed some options and stock enough tme before earnings to grow the stock growth all sectors,2
520,covered some shorts,2
521,Add to,2
522,triple top forming.,2
523,will end up selling for pennies on the dollar,0
524,looking sexy this morning break on volume,2
525,Whole Foods shareholders vote down activist initiatives,0
526,Imagine $AAPL TV impact!! $$$,2
527,Southwest Is at Its Lowest Multiple Ever,2
528,Still too early for an entry,0
529,Moved Upper Bollinger Band,2
530,Today I bought more,2
531,won't have anyone buying products,0
532,Short Setups Looking Nice....Really Nice,0
533,still long term fan!,2
534,What a nice reversal.,2
535,TripAdvisor jumps on M&A rumors,2
536,"$TSLA Recalls 2,700 Model X Vehicle Shares Volatile",0
537,Long tech calls,2
538,Breakout Should be Confirmed Upturn,2
539,Best performers,2
540,very tight on the avail stock for shorting,0
541,get into $WFM and $MJN,2
542,Stochastic Overbought,0
543,Bounced off target buy area,0
544,oversold,2
545,double top reject,0
546,Added. Bounce off of for ride to,2
547,working on Cuba deals,2
548,Dividend Hike Green Light,2
549,I am excited about all these plays,2
550,commodity weakness,0
551,$fb small flong 109.25 via calls,2
552,had a nice breakout of the recent consolidation,2
553,sells flat..I am out..,0
554,Airplane And Hospitality Industries Set Their Sights On #Cuba,2
555,reserves are in decline,2
556,this pull back of,0
557,Pie In The Sky,2
558,First quarter is amazing,2
559,$TFM will have a way to go price wise to compete with Kroger. $KR,2
560,Sector Stocks Leading Today,2
561,biggest St50 gainers,2
562,Bears Take a Clear Near Term Advantage,0
563,Will A Onetime Zombie Stock Rise Again?,2
564,today's bull flag,2
565,iPhone SE Could Be Doing Better Than Expected,2
566,Now up to 200 stocks making new 52 week highs,2
567,Would short $AMZN on any rally,0
568,after losing about $1 billion on $VRX?,0
569,$CAT +5.10%,2
570,"The Top 10 brands for #millennials - $AAPL is #1, and $FB is way off the list at #65.",2
571,looking tasty,2
572,Sell Short Position on,2
573,Nice day rally!,2
574,damn me and low priced stocks,0
575,Spy the bubble is in stock buy backs,0
576,SELL signal by $NDX internals technical SELL,0
577,Bullshit,0
578,$X +2.27%,2
579,this is what you get,0
580,"Another one to add, already happily holding",2
581,RSI is down at 20,2
582,$BABA is going to be an interesting one,2
583,,2
584,Buy the dip',2
585,"There's no reason why $GOOGL can't get back to $1,000",2
586,short,0
587,Equity indexes working on a positive engulfing for March,2
588,Highest call to put ratio,2
589,Oil slid to a four-year low after #OPEC kept its oil production unchange,0
590,sideways,1
591,Unusual Call Activity,2
592,"green, lol... make-up to cover ugliness",2
593,slight green May be runner later,2
594,Pivotal sees 27% upside for Alphabet,2
595,refuse worst decisions ever,0
596,profitable hard and software product innovator,2
597,$MSFT is opening up its #XboxLive online service,2
598,here we gooo,2
599,sold my 81 calls,0
600,at resistance right here sold my shares,0
601,Holding,2
602,Gevoâ€™s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight,2
603,stocks at support w/ high trade quality,2
604,finally broke free from big brother's shadow?,2
605,I like this Ascending Triangle Breakout coming Monday Looks promising,2
606,I'd be short $fast,0
607,In Play Longs,2
608,the most trending,2
609,Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets,2
610,out of $KRE,0
611,time to accumulate for a long position far more upside than downside,2
612,No edge offered,2
613,Oil To Break Out Adding Chevron,2
614,Found some good bull setups this week,2
615,Sets Up for Breakout,2
616,Something big is gonna happen here,1
617,winning pick this week,2
618,calls popping 5% Stock +1%,2
619,Double bottom 5.2,2
620,lets see one more dip,0
621,consistent gains but small one of my favorite trade,2
622,on cusp of a major bollinger breakout on daily sitting right on its 200 day EMA the force is too strong squeeze the shorts,2
623,hanging tough in down market due to analyst upgrades Up almost 3%,2
624,Coal stocks are poking their head up very nice weekly candle,2
625,Still holding,2
626,"is exceptionally bullish for Romney, the mkt, and the economy.",2
627,Mid-single digits EBITDA growth,2
628,posts 60 percent jump in 4Q profit steep global sales increase tops Wall St. view,2
629,Loving BTU and the coal stocks in here,2
630,watching paint dry low volatility,1
631,Fundamentally nothing has changed,2
632,Stares Into the Abyss,0
633,Smartphone Wars Wound Samsung,2
634,where the growth is not a High P.E. stock,2
635,long this morning,2
636,took my proprietary profit exit didn't like the option liquidity ousy spreads,0
637,$YHOO refuse of $MSFT offer of 45 B is going to go down as one of the worst decisions ever.,2
638,has gained an average of 0.9% a week for the last nine years,2
639,eyeing $RA w take-over interest,2
640,added to our $GILD position started a new one in $BWLD,2
641,Investor long-term stock recommendation,2
642,EPS growth is around 12% so far,2
643,easonably priced high growth institutional fave glamour name that is going at least 30% higher,2
644,Bull Of The Day,2
645,Let's go up Gilead,2
646,European Debt once again Keeps Stocks Down,0
647,Nice little cup-and-handle shaping up favours a good day for the index,2
648,bail out,2
649,I dumped $PYPL and $PRLB,0
650,Top #NetPayoutYields,2
651,CFO Sees Profitability From Cash Flow Positive From,2
652,Price Target Raised,2
653,So sad to see such a loved company eating dirt.,0
654,is up 19%,2
655,have cash to burn.,2
656,Downbeaten stocks may be ripe for buys,2
657,Strictly day trading this one long and short off 5 minute,2
658,Aggressive Buy,2
659,Long favorite covered call double dip dividend play. touting,2
660,close above 28.64 we are ready to rock and roll,2
661,Will this cold put a dent in the massive horizontal rig production,0
662,Long look like a 5-10% run awaits,2
663,"Over the TL it can go to 114, below it can go to 90.",1
664,accumulating more $BSMX on any pullback,2
665,record number of passengers served in 2015,2
666,then trail up.,2
667,Bullshit! All #AppleStores are EMPTY in #China,0
668,downgrade,0
669,another strong rail today after breaking intraday resistance,2
670,Heard Netflix is raising its prices. It's all good it's worth it though,2
671,yet not that much (price) has changed,2
672,stocks insiders are bullish on,2
673,Markets Are Still Acting Weak,0
674,Top #NetPayoutYields,2
675,S1 above gap. keeping an eye on S2,2
676,shorts likely to take profits into close,0
677,I see no reason to sell yet,0
678,ripping early,2
679,Keeping my stops a bit on the tight side,2
680,"Receives 7-Year, $50M Contract",2
681,splat! poor Q1 orders,0
682,"With Oil Prices Down further, Oil Stocks Looking Less Cheap",0
683,Finding Support,2
684,,1
685,,2
686,$GOOGL patents turn signal detector for autonomous cars.,2
687,wants lower up waves getting smaller,0
688,add in,2
689,I see a 20 percent upside in $FB shares from here,2
690,great growth stk & also raised dividend clearly a great investment,2
691,$ENDP being sued by FT nobody will buy them with that hanging over their heads,0
692,Breaking 52 week highs timing looks great now,2
693,LargeCap Growth fundholders get lift,2
694,progress witnessed truly stunning,2
695,trying to drag $bidu with it.,0
696,60% short interest or not,0
697,The momo leaders are taken down one by one,0
698,Stochastic Overbought,0
699,new squeeze plays,0
700,Active puts,0
701,Mulls Sale of $1 Billion Venture Capital Portfolio,2
702,strong buy within a month,2
703,Buy these 3 stocks while there's blood in the streets,2
704,I'm watching(and buy targets),2
705,$YHOO have lost 50% since Nov 14,0
706,wouldn't be surprised to see a green close,2
707,Failed breakouts & failed setups Limping on crutches into next week,0
708,high-flyers have been falling,0
709,decision to sell robot business exposes growing pains,0
710,stocks insiders are bullish on,2
711,Drop expected,0
712,Upgraded to a buy by Alpha Street Research,2
713,Worth a chance here,2
714,Rally Friday! #new52weekhighs p over 31%,2
715,expects to break even,2
716,all higher,2
717,Adobe Receives New Rating from Top Analyst,2
718,alot to worry about,0
719,We See More Reasons To Be Cautious,0
720,huge buy in all these names,2
721,$MSFT higher than I expected,2
722,but Verizon is still the bidder to beat,2
723,Could the pride of social media be gettin ready to fall? chart rolling over?,0
724,gold going parabolic keep chasing those tops boys,2
725,hold through all the media BS and you will be profitable patience is key,2
726,Biggest Market Losers,0
727,#sectorbreadth Strongest sector is Industrials 86% bullishness,2
728,uch a bloated valuation,0
729,I Love blood like a vampire.....Keep bleeding for me,0
730,$FB and $IBB still weak,0
731,Bull Candle,2
732,$IEF bullish,2
733,best scenario going forward is this stock slowly falling everyday,0
734,plus its Irish based  getting rid of its generic biz,2
735,Today's losers,0
736,If that's what you want then buy some,2
737,Just sold 2 Apr-22 115 calls,0
738,Stochastic Overbought,0
739,Long Position on,2
740,new HOD,2
741,LONGS,2
742,beat up AH,2
743,down 25% since Tue morning.,0
744,10% Dividend Increase Rewards Patient Investors The Future Looks Bright,2
745,Go Long until exp imo,2
746,remember when Zuck in 2010 told us he was going to fix email with it?,2
747,Bought a little yesterda hoping for an earnings pop.,2
748,long term uptrend broke 4 year resistance looks primed for further upside,2
749,Sets Up for Breakout,2
750,picked up $CALM,2
751,advance announce licensing agreement,2
752,gets a patent and goes up .20 today,2
753,Don't like Neither does Wall Street fell the most,0
754,GALE stacks up poorly from an insider ownership,0
755,Nice day rally!,2
756,#oversold,2
757,Took a small position,2
758,Continues to base on the weekly chart,0
